Title,Link,Summary,Published
Google’s new AI video model Veo 2 will cost 50 cents per second,https://techcrunch.com/2025/02/23/googles-new-ai-video-model-veo-2-will-cost-50-cents-per-second/,"<p>Google has quietly revealed the pricing of Veo 2, the video-generating AI model that it unveiled in December. According to the company’s pricing page, using Veo 2 will cost 50 cents per second of video, which adds up to $30 per minute or $1,800 per hour. Google DeepMind researcher Jon Barron contrasted this pricing with [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Sun, 23 Feb 2025 22:33:06 +0000"
This mental health chatbot aims to fill the counseling gap at understaffed schools,https://techcrunch.com/2025/02/23/this-mental-health-chatbot-aims-to-fill-the-counseling-gap-at-understaffed-schools/,"<p>As school districts struggle to support the mental health of their students, a startup called Sonar Mental Health has built a “wellbeing companion” called Sonny to help. As described in the Wall Street Journal, Sonny is a chatbot that relies on a combination of human staff and AI. When students text their questions to Sonny, [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Sun, 23 Feb 2025 18:12:48 +0000"
Grok 3 appears to have briefly censored unflattering mentions of Trump and Musk,https://techcrunch.com/2025/02/23/grok-3-appears-to-have-briefly-censored-unflattering-mentions-of-trump-and-musk/,"<p>When billionaire Elon Musk introduced Grok 3, his AI company xAI&#8217;s latest flagship model, in a live stream last Monday, he described it as a “maximally truth-seeking AI.&#8221; Yet it appears that Grok 3 was briefly censoring unflattering facts about President Donald Trump — and Musk himself. Over the weekend, users on social media reported [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Sun, 23 Feb 2025 16:49:58 +0000"
Did xAI lie about Grok 3’s benchmarks?,https://techcrunch.com/2025/02/22/did-xai-lie-about-grok-3s-benchmarks/,"<p>Debates over AI benchmarks — and how they&#8217;re reported by AI labs — are spilling out into public view. This week, an OpenAI employee accused Elon Musk&#8217;s AI company, xAI, of publishing misleading benchmark results for its latest AI model, Grok 3. One of the co-founders of xAI, Igor Babushkin, insisted that the company was [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Sat, 22 Feb 2025 22:55:14 +0000"
US AI Safety Institute could face big cuts,https://techcrunch.com/2025/02/22/us-ai-safety-institute-could-face-big-cuts/,"<p>The National Institute of Standards and Technology could fire as many as 500 staffers, according to multiple reports — cuts that further threaten a fledgling AI safety organization. Axios reported this week that the US AI Safety Institute (AISI) and Chips for America, both part of NIST, would be “gutted” by layoffs targeting probationary employees [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Sat, 22 Feb 2025 21:22:36 +0000"
The fallout from HP’s Humane acquisition,https://techcrunch.com/2025/02/22/the-fallout-of-hps-humane-acquisition/,"<p>Welcome back to Week in Review. This week we’re looking at the internal chaos surrounding HP’s $116 million acquisition of AI Pin maker Humane; Mira Murati’s new AI venture coming out of stealth; Duolingo killing its iconic owl mascot with a Cybertruck; and more! Let’s get into it. Humane’s AI pin is dead. The hardware [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Sat, 22 Feb 2025 18:05:00 +0000"
Court filings show Meta staffers discussed using copyrighted content for AI training,https://techcrunch.com/2025/02/21/court-filings-show-meta-staffers-discussed-using-copyrighted-content-for-ai-training/,"<p>For years, Meta employees have internally discussed using copyrighted works obtained through legally questionable means to train the company&#8217;s AI models, according to court documents unsealed on Thursday. The documents were submitted by plaintiffs in the case Kadrey v. Meta, one of many AI copyright disputes slowly winding through the U.S. court system. The defendant, [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Fri, 21 Feb 2025 23:15:38 +0000"
iOS 18.4 will bring Apple Intelligence-powered ‘Priority Notifications’,https://techcrunch.com/2025/02/21/ios-18-4-will-bring-apple-intelligence-powered-priority-notifications/,"<p>Apple on Friday released its first developer beta for iOS 18.4, which adds a new “Priority Notifications” feature, powered by Apple Intelligence. The addition aims to help users manage their notifications by prioritizing important alerts and minimizing distractions from less important ones.  These priority notifications are displayed in a separate section on the phone&#8217;s Lock [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Fri, 21 Feb 2025 21:34:27 +0000"
Nvidia CEO Jensen Huang says market got it wrong about DeepSeek’s impact,https://techcrunch.com/2025/02/21/nvidia-ceo-jensen-huang-says-market-got-it-wrong-about-deepseeks-impact/,"<p>Nvidia founder and CEO Jensen Huang said the market got it wrong when it comes to DeepSeek&#8217;s technological advancements and its potential to negatively impact the chipmaker&#8217;s business. Instead, Huang called DeepSeek&#8217;s R1 open source reasoning model &#8220;incredibly exciting&#8221; while speaking with Alex Bouzari, CEO of DataDirect Networks, in a pre-recorded interview that was released [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Fri, 21 Feb 2025 20:36:00 +0000"
Report: OpenAI plans to shift compute needs from Microsoft to SoftBank,https://techcrunch.com/2025/02/21/report-openai-plans-to-shift-compute-needs-from-microsoft-to-softbank/,"<p>OpenAI is forecasting a major shift in the next five years around who it gets most of its computing power from, The Information reported on Friday. By 2030, OpenAI expects to get three-quarters of its data center capacity from Stargate, a project that&#8217;s expected to be heavily financed by SoftBank, one of OpenAI&#8217;s newest financial [&#8230;]</p>
<p>© 2024 TechCrunch. All rights reserved. For personal use only.</p>","Fri, 21 Feb 2025 20:22:40 +0000"
